SMILES,gap,mol_weight,num_rotatable_bonds,bertz_ct
C[N+](C)(C)C,10.096,74.14699999999995,4,15.509775004326936
CC[N+](C)(C)C,9.051,88.17399999999992,5,29.793193904479523
CCC[N+](C)(C)C,8.06,102.20099999999992,6,38.49022499567306
CC[N+](C)(C)CC,9.022,102.20099999999991,6,38.0
CC(C)C[N+](C)(C)C,7.976,116.22799999999991,7,54.928786893420316
CCCC[N+](C)(C)C,7.426,116.22799999999991,7,47.548875021634686
CCC[N+](C)(C)CC,8.261,116.22799999999991,7,53.05865002596163
CC[N+](C)(CC)CC,9.115,116.2279999999999,7,42.793987519471216
CC(C)(C)C[N+](C)(C)C,7.674,130.25499999999994,4,65.19188266301452
CC(C)CC[N+](C)(C)C,7.313,130.25499999999994,8,64.59772060569361
CCC(C)C[N+](C)(C)C,7.467,130.25499999999994,8,66.59772060569361
CCCCC[N+](C)(C)C,6.711,130.25499999999994,8,56.92878689342031
CCCC[N+](C)(C)CC,7.567,130.25499999999994,8,62.43856189774725
CCC[N+](C)(C)CCC,8.227,130.25499999999994,8,54.43856189774725
CCC[N+](C)(CC)CC,8.47,130.25499999999994,8,60.438561897747256
CC[N+](C)(C)CC(C)C,8.14,130.2549999999999,8,70.10749561002055
CC[N+](CC)(CC)CC,8.96,130.2549999999999,8,42.928786893420316
CC(C)CCC[N+](C)(C)C,7.027,144.28200000000012,9,74.52932501298082
CCC(C)(C)C[N+](C)(C)C,7.322,144.28200000000012,9,93.09616281328599
CCC(C)CC[N+](C)(C)C,6.948,144.28200000000012,9,76.52932501298082
CCC(C)C[N+](C)(C)CC,7.716,144.28200000000012,9,82.03910001730776
CCCC(C)C[N+](C)(C)C,6.97,144.28200000000012,9,76.52932501298082
CCCCCC[N+](C)(C)C,6.452,144.28200000000012,9,66.59772060569361
CCCCC[N+](C)(C)CC,7.054,144.28200000000012,9,72.10749561002055
CCCC[N+](C)(C)CCC,7.771,144.28200000000012,9,72.10749561002055
CCCC[N+](C)(CC)CC,7.925,144.28200000000012,9,70.10749561002055
CCC[N+](C)(C)CC(C)C,8.111,144.28200000000012,9,80.03910001730775
CCC[N+](C)(CC)CCC,8.287,144.28200000000012,9,68.10749561002055
CCC[N+](CC)(CC)CC,8.434,144.28200000000012,9,61.84283310353013
CC[N+](C)(C)CC(C)(C)C,7.826,144.2820000000001,5,93.09616281328599
CC[N+](C)(C)CCC(C)C,7.669,144.2820000000001,9,80.03910001730775
CC[N+](C)(CC)CC(C)C,8.339,144.2820000000001,9,78.03910001730776
CC(C)C(C)(C)C[N+](C)(C)C,7.056,158.30900000000022,10,112.49022499567306
CC(C)CCCC[N+](C)(C)C,6.316,158.30900000000022,10,84.70165766734146
CC(C)C[N+](C)(C)CC(C)C,8.051,158.30900000000022,10,86.60593781761291
CCC(C)CCC[N+](C)(C)C,6.2,158.30900000000022,10,86.70165766734146
CCC(C)CC[N+](C)(C)CC,7.1,158.30900000000022,10,92.2114326716684
CCCC(C)(C)C[N+](C)(C)C,6.82,158.30900000000022,10,103.69694286392863
CCCC(C)CC[N+](C)(C)C,6.611,158.30900000000022,10,86.70165766734146
CCCC(C)C[N+](C)(C)CC,7.321,158.30900000000022,10,92.2114326716684
CCCCC(C)C[N+](C)(C)C,6.865,158.30900000000022,10,86.70165766734146
CCCCCCC[N+](C)(C)C,6.421,158.30900000000022,10,76.52932501298082
CCCCCC[N+](C)(C)CC,6.939,158.30900000000022,10,82.03910001730776
CCCCC[N+](C)(C)CCC,7.375,158.30900000000022,10,82.03910001730776
CCCCC[N+](C)(CC)CC,7.379,158.30900000000022,10,80.03910001730775
CCCC[N+](C)(C)CC(C)C,7.838,158.30900000000022,10,90.2114326716684
CCCC[N+](C)(C)CCCC,7.785,158.30900000000022,10,72.03910001730776
CCCC[N+](C)(CC)CCC,8.079,158.30900000000022,10,86.03910001730776
CCCC[N+](CC)(CC)CC,8.095,158.30900000000022,10,71.77443751081735
CCC[N+](C)(C)CC(C)(C)C,7.919,158.30900000000022,6,103.69694286392863
CCC[N+](C)(C)CC(C)CC,7.595,158.30900000000022,10,92.2114326716684
CCC[N+](C)(C)CCC(C)C,7.59,158.30900000000022,10,90.2114326716684
CCC[N+](C)(CC)CC(C)C,8.441,158.30900000000022,10,94.21143267166842
CCC[N+](C)(CCC)CCC,8.554,158.30900000000022,10,67.01955000865388
CCC[N+](CC)(CC)CCC,8.534,158.30900000000022,10,72.03910001730776
