SMILES,cid
C[N+](C)(C)C,6380.0
CC[N+](C)(C)C,33993.0
CCC[N+](C)(C)C,29385.0
CC[N+](C)(C)CC,199517.0
CC(C)C[N+](C)(C)C,15919129.0
CCCC[N+](C)(C)C,24399.0
CCC[N+](C)(C)CC,158452.0
CC[N+](C)(CC)CC,70440.0
CC(C)(C)C[N+](C)(C)C,417944.0
CC(C)CC[N+](C)(C)C,417981.0
CCC(C)C[N+](C)(C)C,20603117.0
CCCCC[N+](C)(C)C,9022.0
CCCC[N+](C)(C)CC,14022617.0
CCC[N+](C)(C)CCC,9989306.0
CCC[N+](C)(CC)CC,4167058.0
CC[N+](C)(C)CC(C)C,419881.0
CC[N+](CC)(CC)CC,5413.0
CC(C)CCC[N+](C)(C)C,58070799.0
CCC(C)(C)C[N+](C)(C)C,53869132.0
CCC(C)CC[N+](C)(C)C,23522030.0
CCC(C)C[N+](C)(C)CC,59180634.0
CCCC(C)C[N+](C)(C)C,53884774.0
CCCCCC[N+](C)(C)C,84774.0
CCCCC[N+](C)(C)CC,23088838.0
CCCC[N+](C)(C)CCC,23088837.0
CCCC[N+](C)(CC)CC,23393389.0
CCC[N+](C)(C)CC(C)C,21344279.0
CCC[N+](C)(CC)CCC,20376278.0
CCC[N+](CC)(CC)CC,77853.0
CC[N+](C)(C)CC(C)(C)C,143150980.0
CC[N+](C)(C)CCC(C)C,123150227.0
CC[N+](C)(CC)CC(C)C,87916176.0
CC(C)C(C)(C)C[N+](C)(C)C,158484685.0
CC(C)CCCC[N+](C)(C)C,59594240.0
CC(C)C[N+](C)(C)CC(C)C,12446313.0
CCC(C)CCC[N+](C)(C)C,23561620.0
CCC(C)CC[N+](C)(C)CC,147254608.0
CCCC(C)(C)C[N+](C)(C)C,152646893.0
CCCC(C)CC[N+](C)(C)C,19880246.0
CCCC(C)C[N+](C)(C)CC,169831593.0
CCCCC(C)C[N+](C)(C)C,13110426.0
CCCCCCC[N+](C)(C)C,30142.0
CCCCCC[N+](C)(C)CC,11593475.0
CCCCC[N+](C)(C)CCC,23088871.0
CCCCC[N+](C)(CC)CC,23088876.0
CCCC[N+](C)(C)CC(C)C,22044341.0
CCCC[N+](C)(C)CCCC,18615673.0
CCCC[N+](C)(CC)CCC,20268953.0
CCCC[N+](CC)(CC)CC,45719.0
CCC[N+](C)(C)CC(C)(C)C,90225462.0
CCC[N+](C)(C)CC(C)CC,18715935.0
CCC[N+](C)(C)CCC(C)C,90967482.0
CCC[N+](C)(CC)CC(C)C,44719323.0
CCC[N+](C)(CCC)CCC,77068.0
CCC[N+](CC)(CC)CCC,13879586.0
CC[N+](C)(C)CCCC(C)C,15636631.0
CC[N+](C)(CC)CCC(C)C,59061293.0
CC[N+](CC)(CC)CC(C)C,13513450.0
CC(C)CCCCC[N+](C)(C)C,54390726.0
CC(C)CC[N+](C)(C)CC(C)C,168144637.0
CCC(C)C(C)(C)C[N+](C)(C)C,148436643.0
CCC(C)CC[N+](C)(CC)CC,155157986.0
CCC(C)C[N+](C)(C)CC(C)C,146880729.0
CCC(C)C[N+](CC)(CC)CC,13426949.0
CCCC(C)(C)C[N+](C)(C)CC,171625777.0
CCCC(C)CCC[N+](C)(C)C,123879569.0
CCCCC(C)(C)C[N+](C)(C)C,149322603.0
CCCCC(C)CC[N+](C)(C)C,157074067.0
CCCCCC(C)C[N+](C)(C)C,89351182.0
CCCCCCCC[N+](C)(C)C,24950.0
CCCCCCC[N+](C)(C)CC,23088859.0
CCCCCC[N+](C)(C)CCC,23088822.0
CCCCCC[N+](C)(CC)CC,11672744.0
CCCCC[N+](C)(C)CCCC,53780101.0
CCCCC[N+](C)(CC)CCC,23088854.0
CCCCC[N+](CC)(CC)CC,152429.0
CCCC[N+](C)(C)CC(C)(C)C,123234305.0
CCCC[N+](C)(C)CC(C)CC,88981039.0
CCCC[N+](C)(C)CCC(C)C,123373067.0
CCCC[N+](C)(CC)CCCC,22487000.0
CCCC[N+](C)(CCC)CCC,87509031.0
CCCC[N+](CC)(CC)CCC,5249160.0
CCC[N+](C)(C)CCC(C)CC,88872659.0
CCC[N+](C)(C)CCCC(C)C,15636633.0
CCC[N+](C)(CC)CC(C)CC,90726542.0
CCC[N+](C)(CC)CCC(C)C,177124344.0
CCC[N+](CC)(CCC)CCC,417995.0
CC[N+](C)(CC(C)C)CC(C)C,85967981.0
CC[N+](C)(CC)CCCC(C)C,140874558.0
CC[N+](CC)(CC)CC(C)(C)C,101571593.0
CC[N+](CC)(CC)CCC(C)C,88868799.0
CC(C)(C)C[N+](C)(C)CC(C)(C)C,22385960.0
CC(C)CCC[N+](C)(C)CC(C)C,15636639.0
CC(C)CC[N+](C)(C)CCC(C)C,58574232.0
CCC(C)(C)C[N+](CC)(CC)CC,141911261.0
CCC(C)CC[N+](CC)(CC)CC,124171270.0
CCC(C)C[N+](C)(C)CC(C)(C)C,123931432.0
CCC(C)C[N+](C)(C)CC(C)CC,53930784.0
CCCCC(C)CC[N+](C)(C)CC,123299227.0
CCCCCCCCC[N+](C)(C)C,37620.0
CCCCCCCC[N+](C)(C)CC,57314278.0
CCCCCCC[N+](C)(C)CCC,23088846.0
CCCCCCC[N+](C)(CC)CC,23088836.0
CCCCCC[N+](C)(C)CC(C)C,148222309.0
CCCCCC[N+](C)(C)CCCC,23088839.0
CCCCCC[N+](C)(CC)CCC,87446870.0
CCCCCC[N+](CC)(CC)CC,193021.0
CCCCC[N+](C)(C)CCC(C)C,159915855.0
CCCCC[N+](C)(C)CCCCC,11149782.0
CCCCC[N+](C)(CC)CCCC,87508333.0
CCCCC[N+](C)(CCC)CCC,23088840.0
CCCCC[N+](CC)(CC)CCC,23088853.0
CCCC[N+](C)(C)CCCC(C)C,15636637.0
CCCC[N+](C)(CCC)CC(C)C,20341239.0
CCCC[N+](C)(CCC)CCCC,87508941.0
CCCC[N+](CC)(CC)CCCC,45730.0
CCCC[N+](CC)(CCC)CCC,87824094.0
CCC[N+](C)(C)CCCCC(C)C,157100785.0
CCC[N+](C)(CCC)CC(C)CC,139247008.0
CCC[N+](CC)(CC)CCC(C)C,177124330.0
CCC[N+](CC)(CCC)CC(C)C,87478720.0
CCC[N+](CCC)(CCC)CCC,9559.0
CC[N+](CC)(CC(C)C)CC(C)C,117974218.0
CC[N+](CC)(CC)CCCC(C)C,122449059.0
CC(C)CCC[N+](C)(C)CCC(C)C,15636643.0
CC(C)C[N+](C)(CC(C)C)CC(C)C,11187184.0
CCCCC(C)C[N+](C)(CC)CCC,149590417.0
CCCCC(C)C[N+](CC)(CC)CC,154000463.0
CCCCCCCCCC[N+](C)(C)C,16389.0
CCCCCCCCC[N+](C)(C)CC,23088850.0
CCCCCCCC[N+](C)(C)CCC,54512768.0
CCCCCCCC[N+](C)(CC)CC,23148562.0
CCCCCCC[N+](C)(C)CCCC,23088855.0
CCCCCCC[N+](CC)(CC)CC,14389559.0
CCCCCC[N+](C)(C)CCC(C)C,159915856.0
CCCCCC[N+](C)(C)CCCCC,23088834.0
CCCCCC[N+](C)(CC)CCCC,57165305.0
CCCCCC[N+](C)(CCC)CCC,87508855.0
CCCCCC[N+](CC)(CC)CCC,153996761.0
CCCCC[N+](C)(C)CCCC(C)C,161625669.0
CCCCC[N+](C)(CC)CCCCC,57048141.0
CCCCC[N+](C)(CCC)CCCC,87508327.0
CCCCC[N+](CC)(CC)CCCC,118020623.0
CCCCC[N+](CC)(CCC)CCC,118020792.0
CCCC[N+](C)(C)CCCCC(C)C,157100786.0
CCCC[N+](C)(CCC)CC(C)(C)C,172207345.0
CCCC[N+](C)(CCCC)CCCC,36209.0
CCCC[N+](CC)(CCC)CCCC,5257973.0
CCCC[N+](CCC)(CCC)CCC,19180.0
