SMILES,gap
C[N+](C)(C)C,10.1
CC[N+](C)(C)C,9.05
CCC[N+](C)(C)C,8.06
CC[N+](C)(C)CC,9.02
CC(C)C[N+](C)(C)C,
CCCC[N+](C)(C)C,7.43
CCC[N+](C)(C)CC,8.26
CC[N+](C)(CC)CC,9.12
CC(C)(C)C[N+](C)(C)C,
CC(C)CC[N+](C)(C)C,
CCC(C)C[N+](C)(C)C,
CCCCC[N+](C)(C)C,6.71
CCCC[N+](C)(C)CC,7.57
CCC[N+](C)(C)CCC,8.23
CCC[N+](C)(CC)CC,8.47
CC[N+](C)(C)CC(C)C,
CC[N+](CC)(CC)CC,8.96
CC(C)CCC[N+](C)(C)C,
CCC(C)(C)C[N+](C)(C)C,
CCC(C)CC[N+](C)(C)C,
CCC(C)C[N+](C)(C)CC,
CCCC(C)C[N+](C)(C)C,
CCCCCC[N+](C)(C)C,6.45
CCCCC[N+](C)(C)CC,7.05
CCCC[N+](C)(C)CCC,7.77
CCCC[N+](C)(CC)CC,7.93
CCC[N+](C)(C)CC(C)C,
CCC[N+](C)(CC)CCC,8.29
CCC[N+](CC)(CC)CC,8.35
CC[N+](C)(C)CC(C)(C)C,
CC[N+](C)(C)CCC(C)C,
CC[N+](C)(CC)CC(C)C,
CC(C)C(C)(C)C[N+](C)(C)C,
CC(C)CCCC[N+](C)(C)C,
CC(C)C[N+](C)(C)CC(C)C,
CCC(C)CCC[N+](C)(C)C,
CCC(C)CC[N+](C)(C)CC,
CCCC(C)(C)C[N+](C)(C)C,
CCCC(C)CC[N+](C)(C)C,
CCCC(C)C[N+](C)(C)CC,
CCCCC(C)C[N+](C)(C)C,
CCCCCCC[N+](C)(C)C,6.21
CCCCCC[N+](C)(C)CC,6.75
CCCCC[N+](C)(C)CCC,7.26
CCCCC[N+](C)(CC)CC,7.23
CCCC[N+](C)(C)CC(C)C,
CCCC[N+](C)(C)CCCC,7.67
CCCC[N+](C)(CC)CCC,7.94
CCCC[N+](CC)(CC)CC,8.1
CCC[N+](C)(C)CC(C)(C)C,
CCC[N+](C)(C)CC(C)CC,
CCC[N+](C)(C)CCC(C)C,
CCC[N+](C)(CC)CC(C)C,
CCC[N+](C)(CCC)CCC,8.49
CCC[N+](CC)(CC)CCC,8.48
CC[N+](C)(C)CCCC(C)C,
CC[N+](C)(CC)CCC(C)C,
CC[N+](CC)(CC)CC(C)C,
CC(C)CCCCC[N+](C)(C)C,
CC(C)CC[N+](C)(C)CC(C)C,
CCC(C)C(C)(C)C[N+](C)(C)C,
CCC(C)CC[N+](C)(CC)CC,
CCC(C)C[N+](C)(C)CC(C)C,
CCC(C)C[N+](CC)(CC)CC,
CCCC(C)(C)C[N+](C)(C)CC,
CCCC(C)CCC[N+](C)(C)C,
CCCCC(C)(C)C[N+](C)(C)C,
CCCCC(C)CC[N+](C)(C)C,
CCCCCC(C)C[N+](C)(C)C,
CCCCCCCC[N+](C)(C)C,5.73
CCCCCCC[N+](C)(C)CC,6.17
CCCCCC[N+](C)(C)CCC,6.78
CCCCCC[N+](C)(CC)CC,7.27
CCCCC[N+](C)(C)CCCC,7.1
CCCCC[N+](C)(CC)CCC,7.22
CCCCC[N+](CC)(CC)CC,7.38
CCCC[N+](C)(C)CC(C)(C)C,
CCCC[N+](C)(C)CC(C)CC,
CCCC[N+](C)(C)CCC(C)C,
CCCC[N+](C)(CC)CCCC,7.93
CCCC[N+](C)(CCC)CCC,7.74
CCCC[N+](CC)(CC)CCC,7.95
CCC[N+](C)(C)CCC(C)CC,
CCC[N+](C)(C)CCCC(C)C,
CCC[N+](C)(CC)CC(C)CC,
CCC[N+](C)(CC)CCC(C)C,
CCC[N+](CC)(CCC)CCC,7.72
CC[N+](C)(CC(C)C)CC(C)C,
CC[N+](C)(CC)CCCC(C)C,
CC[N+](CC)(CC)CC(C)(C)C,
CC[N+](CC)(CC)CCC(C)C,
CC(C)(C)C[N+](C)(C)CC(C)(C)C,
CC(C)CCC[N+](C)(C)CC(C)C,
CC(C)CC[N+](C)(C)CCC(C)C,
CCC(C)(C)C[N+](CC)(CC)CC,
CCC(C)CC[N+](CC)(CC)CC,
CCC(C)C[N+](C)(C)CC(C)(C)C,
CCC(C)C[N+](C)(C)CC(C)CC,
CCCCC(C)CC[N+](C)(C)CC,
CCCCCCCCC[N+](C)(C)C,5.43
CCCCCCCC[N+](C)(C)CC,5.95
CCCCCCC[N+](C)(C)CCC,6.17
CCCCCCC[N+](C)(CC)CC,6.47
CCCCCC[N+](C)(C)CC(C)C,
CCCCCC[N+](C)(C)CCCC,6.62
CCCCCC[N+](C)(CC)CCC,6.66
CCCCCC[N+](CC)(CC)CC,6.84
CCCCC[N+](C)(C)CCC(C)C,
CCCCC[N+](C)(C)CCCCC,7.21
CCCCC[N+](C)(CC)CCCC,7.29
CCCCC[N+](C)(CCC)CCC,7.31
CCCCC[N+](CC)(CC)CCC,7.48
CCCC[N+](C)(C)CCCC(C)C,
CCCC[N+](C)(CCC)CC(C)C,
CCCC[N+](C)(CCC)CCCC,7.72
CCCC[N+](CC)(CC)CCCC,7.89
CCCC[N+](CC)(CCC)CCC,8.11
CCC[N+](C)(C)CCCCC(C)C,
CCC[N+](C)(CCC)CC(C)CC,
CCC[N+](CC)(CC)CCC(C)C,
CCC[N+](CC)(CCC)CC(C)C,
CCC[N+](CCC)(CCC)CCC,8.38
CC[N+](CC)(CC(C)C)CC(C)C,
CC[N+](CC)(CC)CCCC(C)C,
CC(C)CCC[N+](C)(C)CCC(C)C,
CC(C)C[N+](C)(CC(C)C)CC(C)C,
CCCCC(C)C[N+](C)(CC)CCC,
CCCCC(C)C[N+](CC)(CC)CC,
CCCCCCCCCC[N+](C)(C)C,5.35
CCCCCCCCC[N+](C)(C)CC,5.86
CCCCCCCC[N+](C)(C)CCC,6.12
CCCCCCCC[N+](C)(CC)CC,6.22
CCCCCCC[N+](C)(C)CCCC,6.28
CCCCCCC[N+](CC)(CC)CC,6.56
CCCCCC[N+](C)(C)CCC(C)C,
CCCCCC[N+](C)(C)CCCCC,6.89
CCCCCC[N+](C)(CC)CCCC,7.01
CCCCCC[N+](C)(CCC)CCC,7.03
CCCCCC[N+](CC)(CC)CCC,7.1
CCCCC[N+](C)(C)CCCC(C)C,
CCCCC[N+](C)(CC)CCCCC,7.57
CCCCC[N+](C)(CCC)CCCC,7.64
CCCCC[N+](CC)(CC)CCCC,7.45
CCCCC[N+](CC)(CCC)CCC,7.59
CCCC[N+](C)(C)CCCCC(C)C,
CCCC[N+](C)(CCC)CC(C)(C)C,
CCCC[N+](C)(CCCC)CCCC,7.75
CCCC[N+](CC)(CCC)CCCC,8.07
CCCC[N+](CCC)(CCC)CCC,
CCC[N+](CCC)(CCC)CC(C)C,
CC[N+](C)(CC(C)(C)C)CC(C)(C)C,
CC[N+](CC)(CC)CCCCC(C)C,
CC(C)CCC[N+](C)(C)CCCC(C)C,
CCC(C)CCCC[N+](CC)(CC)CC,
CCCCC(C)(C)C[N+](C)(C)CCCC,
CCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCC[N+](C)(CC)CC,
CCCCCCCC[N+](C)(C)CCCC,
CCCCCCCC[N+](CC)(CC)CC,
CCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCC[N+](C)(C)CCCCC,
CCCCCCC[N+](C)(CC)CCCC,
CCCCCC[N+](C)(C)CCCC(C)C,
CCCCCC[N+](C)(C)CCCCCC,
CCCCCC[N+](C)(CC)CCCCC,
CCCCCC[N+](C)(CCC)CCCC,
CCCCCC[N+](CC)(CC)CCCC,
CCCCCC[N+](CC)(CCC)CCC,
CCCCC[N+](C)(C)CCCCC(C)C,
CCCCC[N+](C)(CCC)CCC(C)C,
CCCCC[N+](C)(CCC)CCCCC,
CCCCC[N+](C)(CCCC)CCCC,
CCCCC[N+](CC)(CC)CCCCC,
CCCCC[N+](CC)(CCC)CCCC,
CCCCC[N+](CCC)(CCC)CCC,
CCCC[N+](C)(CCCC)CC(C)CC,
CCCC[N+](CC)(CCCC)CC(C)C,
CCCC[N+](CC)(CCCC)CCCC,
CCCC[N+](CCC)(CCC)CCCC,
CC[N+](CC(C)C)(CC(C)C)CC(C)C,
CC[N+](CC)(CC)CCCCCC(C)C,
CCC(C)CC[N+](C)(CC)CCCC(C)C,
CCCCCC(C)C[N+](C)(C)CC(C)CC,
CCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCC[N+](C)(CC)CC,
CCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCC[N+](C)(CC)CCCC,
CCCCCCCC[N+](C)(CCC)CCC,
CCCCCCC[N+](C)(C)CCCC(C)C,
CCCCCCC[N+](C)(C)CCCCCC,
CCCCCCC[N+](CC)(CC)CCCC,
CCCCCCC[N+](CC)(CCC)CCC,
CCCCCC[N+](C)(C)CCCCC(C)C,
CCCCCC[N+](C)(CC(C)C)CC(C)C,
CCCCCC[N+](C)(CC)CCCCCC,
CCCCCC[N+](C)(CCC)CCCCC,
CCCCCC[N+](C)(CCCC)CCCC,
CCCCCC[N+](CC)(CC)CCCCC,
CCCCCC[N+](CC)(CCC)CCCC,
CCCCCC[N+](CCC)(CCC)CCC,
CCCCC[N+](C)(CCCC)CCCCC,
CCCCC[N+](CC)(CCC)CCCCC,
CCCCC[N+](CC)(CCCC)CCCC,
CCCCC[N+](CCC)(CCC)CCCC,
CCCC[N+](C)(CCCC)CC(C)CCC,
CCCC[N+](CCC)(CCCC)CC(C)C,
CCCC[N+](CCC)(CCCC)CCCC,
CC(C)(C)C[N+](C)(CC(C)(C)C)CC(C)(C)C,
CC(C)CC[N+](C)(CCC(C)C)CCC(C)C,
CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C,
CCCC(C)CCC[N+](C)(CC)CC(C)CC,
CCCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCC[N+](C)(C)CC(C)C,
CCCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCCC[N+](C)(CC)CCCC,
CCCCCCCC[N+](C)(C)CCCC(C)C,
CCCCCCCC[N+](C)(C)CCCCCC,
CCCCCCCC[N+](C)(CC)CCCCC,
CCCCCCCC[N+](C)(CCC)CCCC,
CCCCCCCC[N+](CC)(CC)CCCC,
CCCCCCC[N+](C)(C)CCCCC(C)C,
CCCCCCC[N+](C)(C)CCCCCCC,
CCCCCCC[N+](C)(CC)CCCCCC,
CCCCCCC[N+](C)(CCC)CCCCC,
CCCCCCC[N+](C)(CCCC)CCCC,
CCCCCCC[N+](CCC)(CCC)CCC,
CCCCCC[N+](C)(CCC)CCCCCC,
CCCCCC[N+](C)(CCCC)CCCCC,
CCCCCC[N+](CC)(CC)CCCCCC,
CCCCCC[N+](CC)(CCCC)CCCC,
CCCCCC[N+](CCC)(CCC)CCCC,
CCCCC[N+](C)(CCCCC)CCCCC,
CCCCC[N+](CC)(CCCC)CCCCC,
CCCCC[N+](CC)(CCCCC)CC(C)C,
CCCCC[N+](CCC)(CCC)CCCCC,
CCCCC[N+](CCC)(CCCC)CCCC,
CCCC[N+](CCCC)(CC(C)C)CC(C)C,
CCCC[N+](CCCC)(CCCC)CC(C)C,
CCCC[N+](CCCC)(CCCC)CCCC,
CCC[N+](CCC)(CCC(C)C)CCC(C)C,
CCCCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCCCC[N+](C)(CC)CC,
CCCCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCCCC[N+](C)(CC)CCC,
CCCCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCCCC[N+](C)(CCC)CCC,
CCCCCCCCCC[N+](CC)(CC)CCC,
CCCCCCCCC[N+](C)(C)CCCC(C)C,
CCCCCCCCC[N+](C)(C)CCCCCC,
CCCCCCCC[N+](C)(C)CCCCC(C)C,
CCCCCCCC[N+](C)(C)CCCCCCC,
CCCCCCCC[N+](C)(CCCC)CCCC,
CCCCCCCC[N+](CCC)(CCC)CCC,
CCCCCCC[N+](C)(CCC)CCCCCC,
CCCCCCC[N+](CCC)(CCC)CCCC,
CCCCCC[N+](C)(CCCC)CCCCCC,
CCCCCC[N+](C)(CCCCC)CCCCC,
CCCCCC[N+](CC)(CCC)CCCC(C)C,
CCCCCC[N+](CCC)(CCCC)CCCC,
CCCCC[N+](CC(C)C)(CC(C)C)CC(C)C,
CCCCC[N+](CC)(CCCCC)CCCCC,
CCCCC[N+](CCC)(CCCC)CCCCC,
CCCCC[N+](CCCC)(CCCC)CCCC,
CCCC[N+](CCCC)(CCCC)CC(C)(C)C,
CCCC[N+](CCCC)(CCCC)CCC(C)C,
CC(C)CCCCC[N+](C)(C)CCCCCC(C)C,
CCCCCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCCC[N+](C)(C)CC(C)C,
CCCCCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCCCC[N+](CC)(CCC)CCC,
CCCCCCCCC[N+](CCC)(CCC)CCC,
CCCCCCCC[N+](C)(C)CCCCCCCC,
CCCCCCCC[N+](CC)(CC)CCCCCC,
CCCCCCCC[N+](CC)(CCCC)CCCC,
CCCCCCCC[N+](CCC)(CCC)CCCC,
CCCCCCC[N+](C)(CCCC)CCCCCC,
CCCCCCC[N+](CC)(CC)CCCCCCC,
CCCCCC[N+](C)(CCCCC)CCCCCC,
CCCCCC[N+](CC(C)C)(CC(C)C)CC(C)C,
CCCCCC[N+](CC)(CCCCCC)CC(C)C,
CCCCCC[N+](CCC)(CCC)CCCCCC,
CCCCCC[N+](CCCC)(CCCC)CCCC,
CCCCC[N+](CCC)(CCCCC)CCCCC,
CCCCC[N+](CCCC)(CCCC)CCCCC,
CCCC[N+](CCCC)(CCC(C)C)CCC(C)C,
CCCC[N+](CCCC)(CCCC)CCCC(C)C,
CCCCCCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCCCCCC[N+](C)(CC)CC,
CCCCCCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCCCCCC[N+](C)(CC)CCCC,
CCCCCCCCCCCC[N+](C)(CCC)CCC,
CCCCCCCCCCCC[N+](CC)(CC)CCC,
CCCCCCCCCCC[N+](C)(C)CCCC(C)C,
CCCCCCCCCCC[N+](C)(C)CCCCCC,
CCCCCCCCCCC[N+](CC)(CC)CCCC,
CCCCCCCCCC[N+](C)(C)CCCCC(C)C,
CCCCCCCCCC[N+](C)(C)CCCCCCC,
CCCCCCCCCC[N+](C)(CC(C)C)CC(C)C,
CCCCCCCCCC[N+](C)(CCCC)CCCC,
CCCCCCCCCC[N+](CCC)(CCC)CCC,
CCCCCCCCC[N+](C)(C)CCCCCCCC,
CCCCCCCC[N+](C)(CC)CCCCCCCC,
CCCCCCCC[N+](C)(CCCC)CCCCCC,
CCCCCCCC[N+](CC)(CC)CCCCCCC,
CCCCCCCC[N+](CCC)(CCC)CCCCC,
CCCCCCC[N+](C)(CCCCC)CCCCCC,
CCCCCCC[N+](CCCC)(CCCC)CCCC,
CCCCCC[N+](C)(CCCCCC)CCCCCC,
CCCCCC[N+](CCCC)(CCCC)CCCCC,
CCCCC[N+](CCCC)(CCCCC)CCCCC,
CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,
CC(C)(C)C[N+](CC(C)(C)C)(CC(C)(C)C)CC(C)(C)C,
CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,
CCCCCCCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCCCCCCC[N+](C)(C)CCC(C)C,
CCCCCCCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCCCCCC[N+](C)(C)CCCC(C)C,
CCCCCCCCCCCC[N+](C)(C)CCCCCC,
CCCCCCCCCCCC[N+](CC)(CC)CCCC,
CCCCCCCCCCCC[N+](CC)(CCC)CCC,
CCCCCCCCCCC[N+](C)(C)CCCCC(C)C,
CCCCCCCCCCC[N+](C)(C)CCCCCCC,
CCCCCCCCCCC[N+](CCC)(CCC)CCC,
CCCCCCCCCC[N+](C)(C)CCCCCCCC,
CCCCCCCCCC[N+](C)(CCC)CCCCCC,
CCCCCCCCC[N+](C)(C)CCCCCCCCC,
CCCCCCCCC[N+](C)(CC)CCCCCCCC,
CCCCCCCC[N+](C)(CCC)CCCCCCCC,
CCCCCCCC[N+](CC)(CC)CCCCCCCC,
CCCCCCCC[N+](CCC)(CCC)CCCCCC,
CCCCCCCC[N+](CCC)(CCCC)CCCCC,
CCCCCCCC[N+](CCCC)(CCCC)CCCC,
CCCCCCC[N+](C)(CCCCCC)CCCCCC,
CCCCCCC[N+](CCC)(CCC)CCCCCCC,
CCCCC[N+](CCC)(CCCCC)CCCCC(C)C,
CCCCC[N+](CCCCC)(CCCCC)CCCCC,
CCCC[N+](CCCC)(CCCC)CCCCC(C)CC,
