Index,Num_c,SMILES,mol_weight,xlogp,num_rotatable_bonds,bertz_ct,HOMO,LUMO,gap,predicted_gap
1,4,C[N+](C)(C)C,74.15,0.3,4,15.51,-14.484,-4.388,10.096,8.934622764587402
2,5,CC[N+](C)(C)C,88.17,0.6,5,29.79,-13.127,-4.076,9.051,8.71216869354248
3,6,CCC[N+](C)(C)C,102.2,1.2,6,38.49,-12.057,-3.997,8.06,8.235021591186523
4,6,CC[N+](C)(C)CC,102.2,1.0,6,38.0,-12.792,-3.77,9.022,8.819104194641113
5,7,CC(C)C[N+](C)(C)C,116.23,1.6,7,54.93,-11.44,-3.464,7.976,7.96536922454834
6,7,CCCC[N+](C)(C)C,116.23,1.5,7,47.55,-11.361,-3.935,7.426,7.747019290924072
7,7,CCC[N+](C)(C)CC,116.23,1.5,7,53.06,-11.959,-3.698,8.261,8.314270973205566
8,7,CC[N+](C)(CC)CC,116.23,1.4,7,42.79,-12.573,-3.458,9.115,8.825321197509766
9,8,CC(C)(C)C[N+](C)(C)C,130.25,2.0,4,65.19,-11.167,-3.493,7.674,7.720820426940918
10,8,CC(C)CC[N+](C)(C)C,130.25,2.0,8,64.6,-10.732,-3.419,7.313,7.497465133666992
11,8,CCC(C)C[N+](C)(C)C,130.25,2.0,8,66.6,-10.987,-3.52,7.467,7.872102737426758
12,8,CCCCC[N+](C)(C)C,130.25,2.1,8,56.93,-10.629,-3.918,6.711,7.070796012878418
13,8,CCCC[N+](C)(C)CC,130.25,1.9,8,62.44,-11.211,-3.644,7.567,7.774417877197266
14,8,CCC[N+](C)(C)CCC,130.25,2.1,8,54.44,-11.848,-3.621,8.227,8.407060623168945
15,8,CCC[N+](C)(CC)CC,130.25,1.9,8,60.44,-11.858,-3.388,8.47,8.510711669921875
16,8,CC[N+](C)(C)CC(C)C,130.25,2.0,8,70.11,-11.351,-3.211,8.14,8.072318077087402
17,8,CC[N+](CC)(CC)CC,130.25,1.7,8,42.93,-12.277,-3.317,8.96,8.958696365356445
18,9,CC(C)CCC[N+](C)(C)C,144.28,2.3,9,74.53,-10.471,-3.444,7.027,7.3029255867004395
19,9,CCC(C)(C)C[N+](C)(C)C,144.28,2.4,9,93.1,-10.717,-3.395,7.322,7.445110321044922
20,9,CCC(C)CC[N+](C)(C)C,144.28,2.5,9,76.53,-10.33,-3.382,6.948,7.199984550476074
21,9,CCC(C)C[N+](C)(C)CC,144.28,2.3,9,82.04,-11.271,-3.555,7.716,7.842474937438965
